Prov.State,Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Vaccinated
,Qatar,25.3548,51.1839,4/20/2020 8:00,6015,9,555,0
,Qatar,25.3548,51.1839,4/21/2020 8:00,6533,9,614,0
,Qatar,25.3548,51.1839,4/22/2020 8:00,7141,10,689,0
,Qatar,25.3548,51.1839,4/23/2020 8:00,7764,10,750,0
,Qatar,25.3548,51.1839,4/24/2020 8:00,8525,10,809,0
,Qatar,25.3548,51.1839,4/25/2020 8:00,9358,10,929,0
,Qatar,25.3548,51.1839,4/26/2020 8:00,10287,10,1012,0
,Qatar,25.3548,51.1839,4/27/2020 8:00,11244,10,1066,0
,Qatar,25.3548,51.1839,4/28/2020 8:00,11921,10,1134,0
,Qatar,25.3548,51.1839,4/29/2020 8:00,12564,10,1243,0
,Qatar,25.3548,51.1839,4/30/2020 8:00,13409,10,1372,0
,Qatar,25.3548,51.1839,5/1/2020 8:00,14096,12,1436,0
,Qatar,25.3548,51.1839,5/2/2020 8:00,14872,12,1534,0
,Qatar,25.3548,51.1839,5/3/2020 8:00,15551,12,1664,0
,Qatar,25.3548,51.1839,5/4/2020 8:00,16191,12,1810,0
,Qatar,25.3548,51.1839,5/5/2020 8:00,17142,12,1924,0
,Qatar,25.3548,51.1839,5/6/2020 8:00,17972,12,2070,0
,Qatar,25.3548,51.1839,5/7/2020 8:00,18890,12,2286,0
,Qatar,25.3548,51.1839,5/8/2020 8:00,20201,12,2370,0
,Qatar,25.3548,51.1839,5/9/2020 8:00,21331,13,2449,0
,Qatar,25.3548,51.1839,5/10/2020 8:00,22520,14,2753,0
,Qatar,25.3548,51.1839,5/11/2020 8:00,23623,14,2840,0
,Qatar,25.3548,51.1839,5/12/2020 8:00,25149,14,3019,0
,Qatar,25.3548,51.1839,5/13/2020 8:00,26539,14,3143,0
,Qatar,25.3548,51.1839,5/14/2020 8:00,28272,14,3356,0
,Qatar,25.3548,51.1839,5/15/2020 8:00,29425,14,3546,0
,Qatar,25.3548,51.1839,5/16/2020 8:00,30972,15,3788,0
,Qatar,25.3548,51.1839,5/17/2020 8:00,32604,15,4370,0
,Qatar,25.3548,51.1839,5/18/2020 8:00,33969,15,4899,0
,Qatar,25.3548,51.1839,5/19/2020 8:00,35606,15,5634,0
,Qatar,25.3548,51.1839,5/20/2020 8:00,37097,16,6600,0
,Qatar,25.3548,51.1839,5/21/2020 8:00,38651,17,7288,0
,Qatar,25.3548,51.1839,5/22/2020 8:00,40481,19,7893,0
,Qatar,25.3548,51.1839,5/23/2020 8:00,42213,21,8513,0
,Qatar,25.3548,51.1839,5/24/2020 8:00,43714,23,9170,0
,Qatar,25.3548,51.1839,5/25/2020 8:00,45465,26,10363,0
,Qatar,25.3548,51.1839,5/26/2020 8:00,47207,28,11844,0
,Qatar,25.3548,51.1839,5/27/2020 8:00,48947,30,13283,0
,Qatar,25.3548,51.1839,5/28/2020 8:00,50914,33,15399,0
,Qatar,25.3548,51.1839,5/29/2020 8:00,52907,36,20604,0
,Qatar,25.3548,51.1839,5/30/2020 8:00,55262,36,25839,0
,Qatar,25.3548,51.1839,5/31/2020 8:00,56910,38,30290,0
,Qatar,25.3548,51.1839,6/1/2020 8:00,58433,40,33437,0
,Qatar,25.3548,51.1839,6/2/2020 8:00,60259,43,36036,0
,Qatar,25.3548,51.1839,6/3/2020 8:00,62160,45,37542,0
,Qatar,25.3548,51.1839,6/4/2020 8:00,63741,45,39468,0
,Qatar,25.3548,51.1839,6/5/2020 8:00,65495,49,40935,0
,Qatar,25.3548,51.1839,6/6/2020 8:00,67195,51,42527,0
,Qatar,25.3548,51.1839,6/7/2020 8:00,68790,54,44338,0
,Qatar,25.3548,51.1839,6/8/2020 8:00,70158,57,45935,0
,Qatar,25.3548,51.1839,6/9/2020 8:00,71879,62,47569,0
,Qatar,25.3548,51.1839,6/10/2020 8:00,73595,66,49413,0
,Qatar,25.3548,51.1839,6/11/2020 8:00,75071,69,51331,0
,Qatar,25.3548,51.1839,6/12/2020 8:00,76588,70,53296,0
,Qatar,25.3548,51.1839,6/13/2020 8:00,78416,70,55252,0
,Qatar,25.3548,51.1839,6/14/2020 8:00,79602,73,56898,0
,Qatar,25.3548,51.1839,6/15/2020 8:00,80876,76,58681,0
,Qatar,25.3548,51.1839,6/16/2020 8:00,82077,80,60461,0
,Qatar,25.3548,51.1839,6/17/2020 8:00,83174,82,62172,0
,Qatar,25.3548,51.1839,6/18/2020 8:00,84441,86,63642,0
,Qatar,25.3548,51.1839,6/19/2020 8:00,85462,93,65409,0
,Qatar,25.3548,51.1839,6/20/2020 8:00,86488,94,66763,0
,Qatar,25.3548,51.1839,6/21/2020 8:00,87369,98,68319,0
,Qatar,25.3548,51.1839,6/22/2020 8:00,88403,99,69956,0
